index,model,dataset,horizon,seed,epochs,batch_size
595,WPMixer,Weather,336,3407,10,64
596,WPMixer,Weather,336,3408,10,64
597,WPMixer,Weather,336,3409,10,64
598,WPMixer,Weather,720,3407,10,64
599,WPMixer,Weather,720,3408,10,64
600,WPMixer,Weather,720,3409,10,64
601,WPMixer,Electricity,96,3407,10,16
602,WPMixer,Electricity,96,3408,10,16
603,WPMixer,Electricity,96,3409,10,16
604,WPMixer,Electricity,192,3407,10,16
605,WPMixer,Electricity,192,3408,10,16
606,WPMixer,Electricity,192,3409,10,16
607,WPMixer,Electricity,336,3407,10,16
608,WPMixer,Electricity,336,3408,10,16
609,WPMixer,Electricity,336,3409,10,16
610,WPMixer,Electricity,720,3407,10,16
