axis,dataset,model,horizon,segment,window_start,best_depth,selected_loss,optimal_loss,relative_tolerance,profiled_channels,U_mean,U_p10,U_p90,M_mean,M_p10,M_p90,seeds,local_units,window_index,relative_time,best_width_group,best_width,best_d_model,best_d_ff
width,ETTh1,PatchTST,96,test,3120,,0.33432683314285716,0.33432683314285716,0.0,7,0.29194690296782666,0.23057765877087116,0.3513777481978298,0.46602140180117535,0.4189588943459045,0.538687474642883,1,7,130,0.9219858156028369,16.0,64.0,64.0,512.0
width,ETTh1,PatchTST,96,test,3144,,0.30373300942857145,0.30373300942857145,0.0,7,0.4129655340527528,0.31187628658123506,0.5563886437418449,0.4866700114091866,0.39283415971184865,0.5423851582170408,1,7,131,0.9290780141843972,8.0,32.0,32.0,256.0
width,ETTh1,PatchTST,96,test,3168,,0.18550930985714284,0.18550930985714284,0.0,7,0.378284083064466,0.30145376601944757,0.43856933060064396,0.5041384075176993,0.33467361133730716,0.6481484462010741,1,7,132,0.9361702127659575,8.0,32.0,32.0,256.0
width,ETTh1,PatchTST,96,test,3192,,0.20651241285714286,0.20651241285714286,0.0,7,0.307409713107552,0.16952584377001007,0.4104242689907684,0.5085008576142924,0.33402882224233976,0.6605613314307,1,7,133,0.9432624113475178,4.0,16.0,16.0,128.0
width,ETTh1,PatchTST,96,test,3216,,0.2631121904285714,0.2631121904285714,0.0,7,0.31578842297075654,0.18206412464138125,0.4548727677467596,0.49370815296891984,0.3355472640794347,0.6361600063773781,1,7,134,0.950354609929078,16.0,64.0,64.0,512.0
width,ETTh1,PatchTST,96,test,3240,,0.32545306428571424,0.32545306428571424,0.0,7,0.2962668284767308,0.19006917097213694,0.38349143340381076,0.4608153191783,0.3250759911915995,0.563502588570572,1,7,135,0.9574468085106383,1.0,4.0,4.0,32.0
width,ETTh1,PatchTST,96,test,3264,,0.2862116214285714,0.2862116214285714,0.0,7,0.3067957737517536,0.2368769439732785,0.4162043239003041,0.42568526681369734,0.3114666644846688,0.4943340523681211,1,7,136,0.9645390070921985,2.0,8.0,8.0,64.0
width,ETTh1,PatchTST,96,test,3288,,0.3720856608571429,0.3720856608571429,0.0,7,0.2930043581233742,0.25707772846534965,0.3169439936786304,0.4540184760425037,0.32277415685647054,0.5466877381182128,1,7,137,0.9716312056737588,1.0,4.0,4.0,32.0
width,ETTh1,PatchTST,96,test,3312,,0.28795969714285713,0.28795969714285713,0.0,7,0.30122066858832663,0.26043725583170235,0.33236939445502567,0.4807169091440228,0.3614458387481833,0.6104578202735687,1,7,138,0.9787234042553191,1.0,4.0,4.0,32.0
width,ETTh1,PatchTST,96,test,3336,,0.23879917614285714,0.23879917614285714,0.0,7,0.33634278585918576,0.23688696589886613,0.4141024855066882,0.45007924306517644,0.35304987601881416,0.5111302905069218,1,7,139,0.9858156028368794,16.0,64.0,64.0,512.0
width,ETTh1,PatchTST,96,test,3360,,0.2580384837142857,0.2580384837142857,0.0,7,0.29325045729654814,0.2485050715458407,0.34820455532852784,0.46781420588506634,0.3782112001238686,0.5359431678680909,1,7,140,0.9929078014184397,1.0,4.0,4.0,32.0
width,ETTh1,PatchTST,96,test,3384,,0.25342589071428573,0.25342589071428573,0.0,7,0.2960656256451813,0.2209665040075557,0.37498002107351813,0.5040037038833814,0.3929802094703763,0.5891370142821315,1,7,141,1.0,8.0,32.0,32.0,256.0
width,ETTh1,TimeMixer,96,test,0,,0.45143551242857144,0.45143551242857144,0.0,7,0.590050407029684,0.5131340713791827,0.6741891109546297,0.47833298149111564,0.3712384191525044,0.5574837347931468,1,7,0,0.0,16.0,64.0,64.0,128.0
width,ETTh1,TimeMixer,96,test,24,,0.3315739517142857,0.3315739517142857,0.0,7,0.46014385781937933,0.1946111461796313,0.6906210865998259,0.43862105379081695,0.3878435408393026,0.48543268972356385,1,7,1,0.0070921985815602835,2.0,8.0,8.0,16.0
width,ETTh1,TimeMixer,96,test,48,,0.26375823785714286,0.26375823785714286,0.0,7,0.5495508754080078,0.4352290151593739,0.7083282814251031,0.42544567984875953,0.3403327665754935,0.5256928507590731,1,7,2,0.014184397163120567,16.0,64.0,64.0,128.0
width,ETTh1,TimeMixer,96,test,72,,0.14424447685714287,0.14424447685714287,0.0,7,0.32771775327519403,0.2760498365557876,0.3876068293441114,0.4717959908346741,0.3314110227988153,0.686184453140915,1,7,3,0.02127659574468085,2.0,8.0,8.0,16.0
width,ETTh1,TimeMixer,96,test,96,,0.17805387507142859,0.17805387507142859,0.0,7,0.3232242661549109,0.24004154711791553,0.4700339909246652,0.45325771536197196,0.33858720748890847,0.6804387734372517,1,7,4,0.028368794326241134,16.0,64.0,64.0,128.0
width,ETTh1,TimeMixer,96,test,120,,0.28325687514285713,0.28325687514285713,0.0,7,0.27395163791471805,0.1999179585101336,0.34529987683799307,0.4762496139654341,0.33553027426994225,0.6925471786065602,1,7,5,0.03546099290780142,4.0,16.0,16.0,32.0
width,ETTh1,TimeMixer,96,test,144,,0.2842260011428571,0.2842260011428571,0.0,7,0.26207223620495024,0.18016391602038034,0.4361939309858093,0.5092410697516347,0.3469875031960407,0.6847416321461082,1,7,6,0.0425531914893617,4.0,16.0,16.0,32.0
width,ETTh1,TimeMixer,96,test,168,,0.3369290144285714,0.3369290144285714,0.0,7,0.30589802879942946,0.20891020912315578,0.38856499080656764,0.47484969232529234,0.33610829877095505,0.625245679621327,1,7,7,0.04964539007092199,16.0,64.0,64.0,128.0
width,ETTh1,TimeMixer,96,test,192,,0.2910571847142857,0.2910571847142857,0.0,7,0.3212456010773643,0.24835826897199573,0.4257278561815244,0.5226591749997306,0.38842945681283225,0.7004617328390684,1,7,8,0.05673758865248227,1.0,4.0,4.0,8.0
width,ETTh1,TimeMixer,96,test,216,,0.4761167152857143,0.4761167152857143,0.0,7,0.34541333701176047,0.2754776932875426,0.42006858830852456,0.5199359219599246,0.4132852527439944,0.7160315057863653,1,7,9,0.06382978723404255,16.0,64.0,64.0,128.0
width,ETTh1,TimeMixer,96,test,240,,0.34246827528571433,0.34246827528571433,0.0,7,0.21847360478854333,0.12133124804045328,0.28785022365037827,0.5130310438440551,0.4109460668247349,0.6191002325925669,1,7,10,0.07092198581560284,1.0,4.0,4.0,8.0
width,ETTh1,TimeMixer,96,test,264,,0.33453414771428575,0.33453414771428575,0.0,7,0.36312813756641155,0.2771719803019398,0.44651735148834865,0.5325959373150062,0.4436335377954106,0.6343691081783835,1,7,11,0.07801418439716312,4.0,16.0,16.0,32.0
width,ETTh1,TimeMixer,96,test,288,,0.41789474942857147,0.41789474942857147,0.0,7,0.37926440512875,0.29841175587982705,0.4702244894926931,0.4812768418643013,0.4080318653693557,0.6070239577027611,1,7,12,0.0851063829787234,4.0,16.0,16.0,32.0
width,ETTh1,TimeMixer,96,test,312,,0.48062168857142856,0.48062168857142856,0.0,7,0.37375736493648254,0.22225996489619873,0.4919477968171518,0.44626790668004196,0.39326788019564474,0.5175956118554476,1,7,13,0.09219858156028368,4.0,16.0,16.0,32.0
width,ETTh1,TimeMixer,96,test,336,,0.3207311112857143,0.3207311112857143,0.0,7,0.37003896629553673,0.29729750212695305,0.45221559904681924,0.41487379063943575,0.37393719507369266,0.47976136991700724,1,7,14,0.09929078014184398,1.0,4.0,4.0,8.0
width,ETTh1,TimeMixer,96,test,360,,0.3245612049,0.3245612049,0.0,7,0.2954404833057573,0.21593557039347866,0.36819010727897755,0.4521642152898425,0.4037591750009076,0.5257913186898194,1,7,15,0.10638297872340426,16.0,64.0,64.0,128.0
width,ETTh1,TimeMixer,96,test,384,,0.5364439358571429,0.5364439358571429,0.0,7,0.27276663825609887,0.22642511539645893,0.31449740228107254,0.47964774971878216,0.4289430910491538,0.5300413121405025,1,7,16,0.11347517730496454,1.0,4.0,4.0,8.0
width,ETTh1,TimeMixer,96,test,408,,0.1815198447142857,0.1815198447142857,0.0,7,0.3203874247649305,0.25606426083787875,0.3798850103099579,0.5090593534204209,0.47569012047817716,0.540794715237344,1,7,17,0.12056737588652482,1.0,4.0,4.0,8.0
width,ETTh1,TimeMixer,96,test,432,,0.40570936942857144,0.40570936942857144,0.0,7,0.31785429119716063,0.21836900889123573,0.45358707607068516,0.46639576120580617,0.44323732460915005,0.5011407788985827,1,7,18,0.1276595744680851,2.0,8.0,8.0,16.0
width,ETTh1,TimeMixer,96,test,456,,0.47813627142857146,0.47813627142857146,0.0,7,0.3262763442265599,0.3044906865801376,0.34383275671841645,0.43917806522279373,0.40130035380477797,0.494398953517261,1,7,19,0.1347517730496454,2.0,8.0,8.0,16.0
width,ETTh1,TimeMixer,96,test,480,,0.7744638765714286,0.7744638765714286,0.0,7,0.29440332330150365,0.2501965941729528,0.3420538784122721,0.42108739896759195,0.3554010762274632,0.4840255186609122,1,7,20,0.14184397163120568,1.0,4.0,4.0,8.0
width,ETTh1,TimeMixer,96,test,504,,0.39398162957142857,0.39398162957142857,0.0,7,0.2912129574764227,0.2493813121030119,0.34378564358175223,0.4103086559902857,0.3738796998357299,0.4735072453140022,1,7,21,0.14893617021276595,4.0,16.0,16.0,32.0
width,ETTh1,TimeMixer,96,test,528,,0.32014746,0.32014746,0.0,7,0.42869340260868655,0.32609158376289726,0.5246738929295532,0.4195509753578718,0.37393185882046154,0.46960040420598387,1,7,22,0.15602836879432624,4.0,16.0,16.0,32.0
width,ETTh1,TimeMixer,96,test,552,,0.29070696285714287,0.29070696285714287,0.0,7,0.4156914357202181,0.32987198622717306,0.5151512036564625,0.458554588516967,0.40502083020639085,0.5455061774668933,1,7,23,0.16312056737588654,8.0,32.0,32.0,64.0
width,ETTh1,TimeMixer,96,test,576,,0.2843450185714286,0.2843450185714286,0.0,7,0.35077362039391363,0.2662626258164541,0.45793852574457455,0.5014386219087681,0.43232425972025157,0.5946588268456164,1,7,24,0.1702127659574468,2.0,8.0,8.0,16.0
width,ETTh1,TimeMixer,96,test,600,,0.3482865825714286,0.3482865825714286,0.0,7,0.31163289565633245,0.2379370766146928,0.37091386031854423,0.45265489802768155,0.3965920929474891,0.5421471686531028,1,7,25,0.1773049645390071,16.0,64.0,64.0,128.0
width,ETTh1,TimeMixer,96,test,624,,0.2519732,0.2519732,0.0,7,0.2883579632270367,0.14615661465876273,0.4350628639673903,0.4729343869255584,0.4104244348758639,0.5468988722481648,1,7,26,0.18439716312056736,4.0,16.0,16.0,32.0
width,ETTh1,TimeMixer,96,test,648,,0.24310687714285714,0.24310687714285714,0.0,7,0.3534662079810915,0.31059877576306155,0.4046088361132213,0.5191736185575706,0.4076695238353008,0.6888064980959563,1,7,27,0.19148936170212766,8.0,32.0,32.0,64.0
width,ETTh1,TimeMixer,96,test,672,,0.2930776255714286,0.2930776255714286,0.0,7,0.39074399255697617,0.27383001266807766,0.5201394741620654,0.49282331033208715,0.444188035454774,0.5609939610639267,1,7,28,0.19858156028368795,1.0,4.0,4.0,8.0
width,ETTh1,TimeMixer,96,test,696,,0.49587179571428575,0.49587179571428575,0.0,7,0.4339796489679628,0.3707170573607048,0.511993703369072,0.5651155746906528,0.41620970002913676,0.7272676313277431,1,7,29,0.20567375886524822,16.0,64.0,64.0,128.0
width,ETTh1,TimeMixer,96,test,720,,0.5574542042857142,0.5574542042857142,0.0,7,0.2884858446932189,0.2375815843291412,0.33382669198900555,0.5546090479167195,0.41212244404968007,0.7478322376905088,1,7,30,0.2127659574468085,8.0,32.0,32.0,64.0
width,ETTh1,TimeMixer,96,test,744,,0.5815008985714286,0.5815008985714286,0.0,7,0.363701199363546,0.27406028409078204,0.42723304370167414,0.5844041530161407,0.44010947821728963,0.7364702960094701,1,7,31,0.2198581560283688,1.0,4.0,4.0,8.0
