channel,u_change,u_spectral,u_surprise,m_peak,m_band,channel_effective_rank,m_channel,U,M,dataset,segment,sample_index,window_start,unit_id,loss_mae,loss_mse,model,seed,axis,depth,width_group,width,coupled_width,horizon,run_id
1,0.4161202436649154,0.3458544040666129,0.527701611214796,0.875,0.9379304622092682,2.860406028057356,0.31006767082611325,0.42989208631544146,0.7076660443451273,ETTh1,test,144,144,test:144:1,0.45010504,0.2735637,MultiPatchFormer,3407,depth,1,4,256,256,96,MultiPatchFormer__ETTh1__h96__depth__d1__wg4__s3407
2,0.05246269409416815,0.009779518343767477,0.40558700519933266,0.25,0.46178934172904784,2.860406028057356,0.31006767082611325,0.1559430725457561,0.3406190041850537,ETTh1,test,144,144,test:144:2,0.55633384,0.5968679,MultiPatchFormer,3407,depth,1,4,256,256,96,MultiPatchFormer__ETTh1__h96__depth__d1__wg4__s3407
3,0.5124044949736564,0.342461363406413,0.4820742355940138,0.75,0.8992470202550076,2.860406028057356,0.31006767082611325,0.4456466979913611,0.6531048970270402,ETTh1,test,144,144,test:144:3,0.38811532,0.193622,MultiPatchFormer,3407,depth,1,4,256,256,96,MultiPatchFormer__ETTh1__h96__depth__d1__wg4__s3407
4,0.09048537688570568,0.012273958520957966,0.49428305338736894,0.375,0.5425222895421524,2.860406028057356,0.31006767082611325,0.19901412959801087,0.4091966534560885,ETTh1,test,144,144,test:144:4,0.43500653,0.24830353,MultiPatchFormer,3407,depth,1,4,256,256,96,MultiPatchFormer__ETTh1__h96__depth__d1__wg4__s3407
5,0.24517892100209948,0.09593224868581395,0.2644986450724157,0.25,0.7401594172679046,2.860406028057356,0.31006767082611325,0.20186993825344304,0.4334090293646726,ETTh1,test,144,144,test:144:5,0.19786458,0.060782153,MultiPatchFormer,3407,depth,1,4,256,256,96,MultiPatchFormer__ETTh1__h96__depth__d1__wg4__s3407
6,0.30036543048954656,0.08690709661331614,0.201660907907527,0.75,0.9483084012141726,2.860406028057356,0.31006767082611325,0.19631114500346322,0.6694586906800953,ETTh1,test,144,144,test:144:6,0.109665535,0.020681037,MultiPatchFormer,3407,depth,1,4,256,256,96,MultiPatchFormer__ETTh1__h96__depth__d1__wg4__s3407
0,0.3159145531105144,0.010750015306508019,0.23903570415091854,0.25,0.4724818550426774,2.793596803417336,0.2989328000713347,0.18856675752264698,0.34047155170467075,ETTh1,test,168,168,test:168:0,0.7388339,0.87874633,MultiPatchFormer,3407,depth,1,4,256,256,96,MultiPatchFormer__ETTh1__h96__depth__d1__wg4__s3407
1,0.4353801990743238,0.13949562947803967,0.4996465454291864,0.875,0.8123872045997601,2.793596803417336,0.2989328000713347,0.35817412466051657,0.6621066682236982,ETTh1,test,168,168,test:168:1,0.3862785,0.21490808,MultiPatchFormer,3407,depth,1,4,256,256,96,MultiPatchFormer__ETTh1__h96__depth__d1__wg4__s3407
2,0.37609705518703374,0.008492948544019349,0.2828275268394322,0.25,0.4397574580398101,2.793596803417336,0.2989328000713347,0.22247251019016176,0.3295634193703816,ETTh1,test,168,168,test:168:2,0.7043125,0.86210924,MultiPatchFormer,3407,depth,1,4,256,256,96,MultiPatchFormer__ETTh1__h96__depth__d1__wg4__s3407
3,0.4537238352505023,0.15277562787433793,0.3971947112647082,0.75,0.7530822615879038,2.793596803417336,0.2989328000713347,0.33456472479651617,0.6006716872197462,ETTh1,test,168,168,test:168:3,0.30235887,0.1357245,MultiPatchFormer,3407,depth,1,4,256,256,96,MultiPatchFormer__ETTh1__h96__depth__d1__wg4__s3407
4,0.19234514861743346,0.023703219068131862,0.5703377867409314,0.375,0.5518951242290967,2.793596803417336,0.2989328000713347,0.2621287181421656,0.40860930810014384,ETTh1,test,168,168,test:168:4,0.380138,0.21065299,MultiPatchFormer,3407,depth,1,4,256,256,96,MultiPatchFormer__ETTh1__h96__depth__d1__wg4__s3407
5,0.6356411699444112,0.11207222756492,0.275970831265734,0.25,0.6913894123016698,2.793596803417336,0.2989328000713347,0.34122807625835505,0.41344073745766813,ETTh1,test,168,168,test:168:5,0.17504708,0.041815888,MultiPatchFormer,3407,depth,1,4,256,256,96,MultiPatchFormer__ETTh1__h96__depth__d1__wg4__s3407
6,0.579142064746601,0.18849449178638536,0.5348173135439468,0.5,0.9083206225308774,2.793596803417336,0.2989328000713347,0.43415129002564434,0.5690844742007374,ETTh1,test,168,168,test:168:6,0.10242504,0.018162252,MultiPatchFormer,3407,depth,1,4,256,256,96,MultiPatchFormer__ETTh1__h96__depth__d1__wg4__s3407
0,0.42948933795811217,0.07767004931371588,0.3123276085870736,0.25,0.5318457687108306,3.4325691442725867,0.40542819003638414,0.27316233195296724,0.3957579862490716,ETTh1,test,192,192,test:192:0,0.7577329,1.076183,MultiPatchFormer,3407,depth,1,4,256,256,96,MultiPatchFormer__ETTh1__h96__depth__d1__wg4__s3407
1,0.5336835322542282,0.2672117064845261,0.49596687388509514,0.875,0.837404002736061,3.4325691442725867,0.40542819003638414,0.43228737087461644,0.7059440642574817,ETTh1,test,192,192,test:192:1,0.28436854,0.12832761,MultiPatchFormer,3407,depth,1,4,256,256,96,MultiPatchFormer__ETTh1__h96__depth__d1__wg4__s3407
2,0.2687509693984651,0.07946863672616943,0.612828430181882,0.25,0.5023953540405561,3.4325691442725867,0.40542819003638414,0.32034934543550553,0.3859411813589801,ETTh1,test,192,192,test:192:2,0.69641805,0.98239136,MultiPatchFormer,3407,depth,1,4,256,256,96,MultiPatchFormer__ETTh1__h96__depth__d1__wg4__s3407
3,0.6598978201008416,0.19463585110400228,0.40953086795354565,0.875,0.8099923456439947,3.4325691442725867,0.40542819003638414,0.42135484638612986,0.6968068452267929,ETTh1,test,192,192,test:192:3,0.24805988,0.09961785,MultiPatchFormer,3407,depth,1,4,256,256,96,MultiPatchFormer__ETTh1__h96__depth__d1__wg4__s3407
